Age_[ka],Sea_level_[m]
2385.32,-2.79
2387.19,-10.80
2389.26,-22.51
2390.95,-20.67
2392.82,-28.69
2395.07,-15.78
2397.40,-35.49
2399.73,-27.51
2402.00,-22.61
2404.27,-24.47
2406.53,-20.80
2408.80,-7.28
2411.07,-0.53
2413.34,-14.08
2415.61,-12.25
2417.88,-8.58
2420.14,-6.13
2421.96,-16.61
2423.97,-40.01
2425.99,-27.10
2428.00,-49.27
2430.22,-57.28
2432.29,-11.77
2434.70,-45.63
2437.12,-50.57
2439.53,-45.05
2441.95,-34.61
2446.12,-35.25
2448.13,-35.27
2450.14,-33.44
2451.96,-39.61
2453.97,-24.24
2456.09,-16.87
2458.67,-3.97
2461.51,-0.92
2464.09,-6.48
2466.67,3.96
2469.68,-2.83
2472.91,-24.39
2476.11,-24.41
2479.27,-42.90
2481.82,-49.07
2483.64,-54.62
2485.67,-54.64
2487.50,-46.65
2489.32,-42.36
2491.39,-36.22
2493.90,-39.93
2496.15,-14.11
2500.86,-8.61
2503.06,-17.85
2505.49,-25.86
2507.69,-37.57
2512.32,-46.83
2514.21,-56.07
2514.40,-51.15
2516.35,-52.39
2518.69,-50.56
2520.84,-50.57
2522.79,-50.59
2524.54,-48.75
2526.49,-48.15
2528.25,-35.86
2530.20,-43.25
2532.35,-34.65
2534.72,-43.28
2536.79,-27.30
2538.86,-18.08
2540.72,-16.25
2542.79,-13.80
2545.27,-8.89
2547.96,6.47
2551.27,5.22
2555.20,8.27
2556.17,-12.65
2558.11,-24.36
2560.05,-20.68
2561.98,-18.84
2563.90,-10.86
2567.75,-11.50
2569.68,-12.13
2571.60,-10.91
2573.53,-3.54
2575.46,-7.86
2577.38,5.05
2579.31,2.58
2581.23,-0.51
2583.16,3.78
2585.08,0.70
2586.88,-4.24
2588.61,-1.17
2590.35,-15.34
2592.08,-27.65
2593.81,-32.59
2595.54,-28.91
2597.28,-47.99
2599.01,-45.54
2600.74,-36.32
2602.48,-40.03
2604.21,-33.27
2605.94,-40.05
2607.67,-26.52
2609.40,-27.15
2611.17,-17.93
2613.02,-11.79
2614.87,-6.88
2616.73,-7.51
2618.63,-9.37
2620.95,-10.00
2623.52,-1.40
2626.43,-3.26
2629.33,-5.74
2632.20,-18.68
2634.53,-16.24
2636.85,-48.86
2639.18,-17.50
2641.50,-31.67
2643.82,-31.06
2646.15,-32.93
2648.56,-21.25
2650.97,-16.34
2653.78,-13.29
2656.79,1.46
2659.80,12.52
2662.63,5.12
2665.03,3.87
2667.44,-1.07
2669.85,6.92
2672.26,-6.64
2674.67,-2.35
2676.88,-18.36
2678.80,-10.99
2680.73,-31.30
2682.65,-39.93
2684.48,-36.25
2686.22,-31.34
2687.96,-22.12
2689.69,-12.90
2691.42,-15.99
2692.81,-19.08
2694.36,-18.47
2695.91,-33.86
2697.45,-32.03
2699.00,-28.34
2700.54,-35.74
2701.93,-36.37
2703.48,-35.77
2705.02,-38.86
2706.72,-22.26
2708.27,-24.73
2709.82,-15.52
2711.34,-13.69
2713.00,-44.47
2714.51,-4.49
2715.88,-14.96
2717.43,-25.43
2718.96,-21.75
2720.49,-27.92
2722.06,-21.78
2723.55,-20.57
2725.10,-13.20
2726.85,-38.44
2728.59,-24.92
2730.33,-28.63
2732.58,-17.57
2735.00,22.40
2737.50,13.76
2740.55,23.58
2743.61,12.48
2746.73,14.91
2751.08,6.26
2753.37,12.39
2757.94,1.89
2760.00,1.26
2762.29,-8.61
2764.34,-5.55
2766.86,-10.50
2769.14,-10.52
2771.27,-20.38
2773.40,-5.02
2775.74,-5.04
2777.24,2.95
2778.94,4.78
2780.65,5.38
2782.35,1.05
2784.41,-7.58
2786.63,1.01
2789.59,-5.78
2793.42,-7.66
2796.65,-25.53
2798.75,-5.86
2801.06,-31.12
2802.79,-49.60
2804.24,-31.78
2805.97,-33.65
2807.42,-33.67
2809.41,-33.08
2812.61,-15.90
2815.62,-11.02
2819.14,-12.92
2822.19,-3.73
2828.07,-3.20
2830.62,-6.31
2832.88,-4.50
2834.86,-11.91
2836.87,-11.94
2838.88,-17.50
2841.09,-24.30
2843.23,-13.26
2845.11,-15.75
2846.81,-22.54
2848.69,-22.57
2850.39,-13.98
2852.27,-27.54
2854.34,-5.42
2856.23,-7.91
2858.08,-3.62
2859.87,-1.80
2861.58,-4.90
2863.28,6.76
2864.82,-11.10
2866.36,1.18
2868.07,-0.69
2869.61,-4.40
2871.32,-5.04
2873.03,-16.76
2874.91,-24.78
2876.56,-23.58
2878.19,-30.98
2879.82,-29.16
2881.75,-15.65
2883.56,-17.52
2885.42,-15.70
2887.35,-7.73
2889.21,-9.60
2890.87,-5.94
2892.82,-4.73
2894.79,-3.53
2896.77,-0.48
2898.74,-11.59
2900.72,-9.15
2902.84,-5.49
2904.76,-1.83
2906.49,-9.24
2908.41,-16.65
2910.14,-19.13
2912.06,-18.54
2913.98,-15.49
2916.10,-21.68
2918.02,-24.17
2919.94,-29.73
2921.67,-25.45
2923.40,-21.78
2925.20,-18.12
2927.12,-2.76
2929.28,-5.87
2931.89,1.48
2935.65,3.27
2939.94,-0.48
2945.04,22.21
2948.80,9.24
2951.28,7.97
2953.22,12.87
2954.68,-8.07
2954.92,4.84
2956.13,-2.56
2957.11,-14.26
2957.35,-3.81
2959.54,4.78
2961.06,1.68
2961.65,-3.25
2963.01,4.11
2963.59,14.56
2964.75,-8.22
2965.53,-18.07
2967.46,-3.95
2969.38,-3.98
2971.30,-15.08
2973.22,-19.41
2975.13,-2.83
2977.05,-6.55
2978.97,3.89
2980.89,27.24
2982.81,4.45
2984.73,20.42
2986.65,18.54
2988.60,12.36
2990.63,9.26
2992.66,4.31
2995.11,-5.57
2998.78,-8.70
3000.73,-14.26
3002.78,-13.66
3005.22,-11.22
3007.66,-32.16
3010.37,-11.88
3013.08,-26.05
3016.06,-10.69
3018.56,-9.48
3021.06,-10.73
3023.09,-14.44
3025.09,-11.99
3027.09,-2.78
3029.09,-7.10
3031.09,19.34
3033.09,11.94
3035.10,10.08
3037.32,11.30
3039.54,8.82
3041.75,-0.43
3043.97,2.63
3045.97,-12.77
3048.19,0.75
3050.41,-19.57
3052.63,-4.82
3055.07,13.00
3057.24,9.30
3059.40,-3.03
3061.57,18.49
3063.73,14.78
3065.90,7.38
3068.57,14.13
3071.28,19.65
3073.98,8.55
3076.69,10.38
3079.39,9.74
3082.10,10.33
3084.69,-6.91
3087.26,-0.17
3089.85,-2.65
3092.44,-7.59
3095.03,-0.23
